Interest Code,Job Zone,Code,Occupation,Featured
SA,1-2,39-9011.00,Childcare Workers,Y
SEC,1-2,39-6012.00,Concierges,Y
SRC,1-2,31-1121.00,Home Health Aides,Y
SEC,1-2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y
S,1-2,39-9011.01,Nannies,Y
SCR,1-2,31-1122.00,Personal Care Aides,Y
SRC,1-2,31-2022.00,Physical Therapist Aides,Y
SIC,1-2,31-1133.00,Psychiatric Aides,Y
SCR,1-2,33-9094.00,School Bus Monitors,Y
SEC,1-2,39-7012.00,Travel Guides,Y
CSR,1-2,39-3091.00,Amusement and Recreation Attendants,Y
RSC,1-2,39-2021.00,Animal Caretakers,Y
CSR,1-2,53-2031.00,Flight Attendants,Y
RSC,1-2,35-3041.00,"Food Servers, Nonrestaurant",Y
CSE,1-2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Y
RSC,1-2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Y
CS,1-2,43-6013.00,Medical Secretaries and Administrative Assistants,Y
CSE,1-2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Y
CSE,1-2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Y
CSR,1-2,35-3031.00,Waiters and Waitresses,Y
SI,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary",
SRI,3,29-1292.00,Dental Hygienists,Y
SCR,3,29-2051.00,Dietetic Technicians,Y
SRI,3,29-2042.00,Emergency Medical Technicians,Y
SR,3,39-9031.00,Exercise Trainers and Group Fitness Instructors,Y
SCI,3,29-2092.00,Hearing Aid Specialists,Y
SCR,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Y
SRI,3,31-9011.00,Massage Therapists,Y
SRC,3,31-1131.00,Nursing Assistants,Y
SRC,3,31-2012.00,Occupational Therapy Aides,
SCR,3,31-2011.00,Occupational Therapy Assistants,Y
SRI,3,29-2043.00,Paramedics,Y
SIC,3,29-2099.08,Patient Representatives,Y
SRC,3,31-2021.00,Physical Therapist Assistants,Y
SA,3,25-2011.00,"Preschool Teachers, Except Special Education",Y
SI,3,29-2053.00,Psychiatric Technicians,Y
SCE,3,39-9041.00,Residential Advisors,Y
SA,3,25-3021.00,Self-Enrichment Teachers,Y
SCI,3,31-9099.01,Speech-Language Pathology Assistants,Y
SC,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",
S,3,25-9043.00,"Teaching Assistants, Special Education",Y
SE,3,39-7011.00,Tour Guides and Escorts,Y
S,3,25-3041.00,Tutors,Y
SI,4,29-1141.01,Acute Care Nurses,Y
SCR,4,25-2059.01,Adapted Physical Education Specialists,
SA,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",
S,4,25-2023.00,"Career/Technical Education Teachers, Middle School",
S,4,25-2032.00,"Career/Technical Education Teachers, Secondary School",Y
S,4,21-1021.00,"Child, Family, and School Social Workers",Y
SER,4,27-2022.00,Coaches and Scouts,Y
S,4,21-1094.00,Community Health Workers,Y
SIC,4,29-1141.03,Critical Care Nurses,Y
SE,4,21-2021.00,"Directors, Religious Activities and Education",Y
SEC,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Y
S,4,25-2021.00,"Elementary School Teachers, Except Special Education",Y
SE,4,11-9179.01,Fitness and Wellness Coordinators,Y
SIC,4,21-1091.00,Health Education Specialists,Y
SA,4,25-2012.00,"Kindergarten Teachers, Except Special Education",
SA,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Y
SAI,4,29-1129.02,Music Therapists,Y
SRI,4,19-1031.03,Park Naturalists,
SCE,4,21-1092.00,Probation Officers and Correctional Treatment Specialists,Y
SER,4,39-9032.00,Recreation Workers,Y
SI,4,29-1125.00,Recreational Therapists,Y
SCI,4,29-1141.00,Registered Nurses,Y
S,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",
SCE,4,21-1093.00,Social and Human Service Assistants,Y
SI,4,25-2056.00,"Special Education Teachers, Elementary School",Y
S,4,25-2055.00,"Special Education Teachers, Kindergarten",
SAI,4,25-2057.00,"Special Education Teachers, Middle School",
SA,4,25-2051.00,"Special Education Teachers, Preschool",
SI,4,25-2058.00,"Special Education Teachers, Secondary School",
SC,4,25-3031.00,"Substitute Teachers, Short-Term",
SI,4,13-1151.00,Training and Development Specialists,Y
SIR,5,29-1291.00,Acupuncturists,Y
SI,5,29-1141.02,Advanced Practice Psychiatric Nurses,Y
SI,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",
SI,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",
SIA,5,25-1031.00,"Architecture Teachers, Postsecondary",
SI,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",
SA,5,29-1129.01,Art Therapists,
SA,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",
SRI,5,29-9091.00,Athletic Trainers,Y
SI,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",
SI,5,25-1042.00,"Biological Science Teachers, Postsecondary",
SI,5,25-1011.00,"Business Teachers, Postsecondary",Y
SRI,5,29-1011.00,Chiropractors,
SE,5,21-2011.00,Clergy,
SI,5,19-3033.00,Clinical and Counseling Psychologists,Y
SIC,5,29-1141.04,Clinical Nurse Specialists,Y
SI,5,25-1122.00,"Communications Teachers, Postsecondary",
SI,5,25-1021.00,"Computer Science Teachers, Postsecondary",
SI,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",
SI,5,29-1031.00,Dietitians and Nutritionists,Y
SI,5,25-1063.00,"Economics Teachers, Postsecondary",
SEC,5,11-9032.00,"Education Administrators, Kindergarten through Secondary",
SEC,5,11-9033.00,"Education Administrators, Postsecondary",
SI,5,25-1081.00,"Education Teachers, Postsecondary",
SCE,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",
SIR,5,25-1032.00,"Engineering Teachers, Postsecondary",Y
SIA,5,25-1123.00,"English Language and Literature Teachers, Postsecondary",
SI,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",
SI,5,29-1215.00,Family Medicine Physicians,
SIR,5,25-9021.00,Farm and Home Management Educators,
SIA,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",
SI,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",
SI,5,25-1064.00,"Geography Teachers, Postsecondary",
SI,5,25-1071.00,"Health Specialties Teachers, Postsecondary",Y
SI,5,21-1022.00,Healthcare Social Workers,Y
SI,5,25-1125.00,"History Teachers, Postsecondary",
SI,5,29-1229.02,Hospitalists,
SEI,5,25-9031.00,Instructional Coordinators,
SI,5,25-1112.00,"Law Teachers, Postsecondary",
SIC,5,25-1082.00,"Library Science Teachers, Postsecondary",
SRI,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",
SI,5,21-1013.00,Marriage and Family Therapists,Y
SIC,5,25-1022.00,"Mathematical Science Teachers, Postsecondary",
SI,5,21-1023.00,Mental Health and Substance Abuse Social Workers,
SI,5,21-1014.00,Mental Health Counselors,Y
SR,5,29-9099.01,Midwives,
SIR,5,29-1151.00,Nurse Anesthetists,Y
SI,5,29-1161.00,Nurse Midwives,Y
SI,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Y
SI,5,29-1122.00,Occupational Therapists,Y
SI,5,29-1221.00,"Pediatricians, General",
SI,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",
SIR,5,29-1123.00,Physical Therapists,Y
SIC,5,29-1071.00,Physician Assistants,Y
SI,5,25-1054.00,"Physics Teachers, Postsecondary",
SI,5,25-1065.00,"Political Science Teachers, Postsecondary",
SI,5,25-1066.00,"Psychology Teachers, Postsecondary",
SI,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",
S,5,21-1015.00,Rehabilitation Counselors,
SIC,5,19-3034.00,School Psychologists,
SI,5,25-1113.00,"Social Work Teachers, Postsecondary",
SI,5,25-1067.00,"Sociology Teachers, Postsecondary",
SIC,5,29-1127.00,Speech-Language Pathologists,Y
SI,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Y
SC,5,25-9044.00,"Teaching Assistants, Postsecondary",
